minutes,hour,date,Variables,Mean_Values
2,13,2021-01-15T13:02:30Z,Temperature,29.65
2,13,2021-01-15T13:02:40Z,Depth,0.397
2,13,2021-01-15T13:02:40Z,Salinity,33.71891402
2,13,2021-01-15T13:02:40Z,Temperature,29.65
2,13,2021-01-15T13:02:50Z,Depth,0.37
2,13,2021-01-15T13:02:50Z,Salinity,33.69626992
2,13,2021-01-15T13:02:50Z,Temperature,29.64
3,10,2021-01-15T10:03:00Z,Depth,0.237
3,10,2021-01-15T10:03:00Z,Salinity,34.20757619
3,10,2021-01-15T10:03:00Z,Temperature,29.16
3,10,2021-01-15T10:03:10Z,Depth,0.233
3,10,2021-01-15T10:03:10Z,Salinity,34.2004333
3,10,2021-01-15T10:03:10Z,Temperature,29.17
3,10,2021-01-15T10:03:20Z,Depth,0.238
3,10,2021-01-15T10:03:20Z,Salinity,34.16077655
3,10,2021-01-15T10:03:20Z,Temperature,29.16
3,10,2021-01-15T10:03:30Z,Depth,0.252
3,10,2021-01-15T10:03:30Z,Salinity,34.21807344
3,10,2021-01-15T10:03:30Z,Temperature,29.15
3,10,2021-01-15T10:03:40Z,Depth,0.247
3,10,2021-01-15T10:03:40Z,Salinity,34.21807378
3,10,2021-01-15T10:03:40Z,Temperature,29.15
3,10,2021-01-15T10:03:50Z,Depth,0.286
3,10,2021-01-15T10:03:50Z,Salinity,34.20132235
3,10,2021-01-15T10:03:50Z,Temperature,29.15
3,11,2021-01-15T11:03:00Z,Depth,0.255
3,11,2021-01-15T11:03:00Z,Salinity,33.58796675
3,11,2021-01-15T11:03:00Z,Temperature,29.35
3,11,2021-01-15T11:03:10Z,Depth,0.283
3,11,2021-01-15T11:03:10Z,Salinity,33.66441515
3,11,2021-01-15T11:03:10Z,Temperature,29.32
3,11,2021-01-15T11:03:20Z,Depth,0.262
3,11,2021-01-15T11:03:20Z,Salinity,33.61072819
3,11,2021-01-15T11:03:20Z,Temperature,29.35
3,11,2021-01-15T11:03:30Z,Depth,0.271
3,11,2021-01-15T11:03:30Z,Salinity,33.60895848
3,11,2021-01-15T11:03:30Z,Temperature,29.32
3,11,2021-01-15T11:03:40Z,Depth,0.259
3,11,2021-01-15T11:03:40Z,Salinity,33.56938304
3,11,2021-01-15T11:03:40Z,Temperature,29.33
3,11,2021-01-15T11:03:50Z,Depth,0.259
3,11,2021-01-15T11:03:50Z,Salinity,33.5936094
3,11,2021-01-15T11:03:50Z,Temperature,29.3
3,12,2021-01-15T12:03:00Z,Depth,0.314
3,12,2021-01-15T12:03:00Z,Salinity,33.86211638
3,12,2021-01-15T12:03:00Z,Temperature,29.1
3,12,2021-01-15T12:03:10Z,Depth,0.278
3,12,2021-01-15T12:03:10Z,Salinity,33.87532782
3,12,2021-01-15T12:03:10Z,Temperature,29.1
3,12,2021-01-15T12:03:20Z,Depth,0.302
3,12,2021-01-15T12:03:20Z,Salinity,33.87103459
3,12,2021-01-15T12:03:20Z,Temperature,29.12
3,12,2021-01-15T12:03:30Z,Depth,0.325
3,12,2021-01-15T12:03:30Z,Salinity,33.84797014
3,12,2021-01-15T12:03:30Z,Temperature,29.12
3,12,2021-01-15T12:03:40Z,Depth,0.344
3,12,2021-01-15T12:03:40Z,Salinity,33.84852953
3,12,2021-01-15T12:03:40Z,Temperature,29.11
3,12,2021-01-15T12:03:50Z,Depth,0.308
3,12,2021-01-15T12:03:50Z,Salinity,33.88845063
3,12,2021-01-15T12:03:50Z,Temperature,29.1
3,13,2021-01-15T13:03:00Z,Depth,0.392
3,13,2021-01-15T13:03:00Z,Salinity,33.7164249
3,13,2021-01-15T13:03:00Z,Temperature,29.63
3,13,2021-01-15T13:03:10Z,Depth,0.377
3,13,2021-01-15T13:03:10Z,Salinity,33.71688115
3,13,2021-01-15T13:03:10Z,Temperature,29.62
3,13,2021-01-15T13:03:20Z,Depth,0.385
3,13,2021-01-15T13:03:20Z,Salinity,33.74488063
3,13,2021-01-15T13:03:20Z,Temperature,29.58
3,13,2021-01-15T13:03:30Z,Depth,0.421
3,13,2021-01-15T13:03:30Z,Salinity,33.74193359
3,13,2021-01-15T13:03:30Z,Temperature,29.57
3,13,2021-01-15T13:03:40Z,Depth,0.351
3,13,2021-01-15T13:03:40Z,Salinity,33.74442118
3,13,2021-01-15T13:03:40Z,Temperature,29.59
3,13,2021-01-15T13:03:50Z,Depth,0.401
3,13,2021-01-15T13:03:50Z,Salinity,33.79481955
3,13,2021-01-15T13:03:50Z,Temperature,29.49
4,10,2021-01-15T10:04:00Z,Depth,0.262
4,10,2021-01-15T10:04:00Z,Salinity,34.24488007
4,10,2021-01-15T10:04:00Z,Temperature,29.15
4,10,2021-01-15T10:04:10Z,Depth,0.278
4,10,2021-01-15T10:04:10Z,Salinity,34.18792257
4,10,2021-01-15T10:04:10Z,Temperature,29.15
4,10,2021-01-15T10:04:20Z,Depth,0.267
4,10,2021-01-15T10:04:20Z,Salinity,34.21517077
4,10,2021-01-15T10:04:20Z,Temperature,29.14
4,10,2021-01-15T10:04:30Z,Depth,0.309
4,10,2021-01-15T10:04:30Z,Salinity,34.19797355
4,10,2021-01-15T10:04:30Z,Temperature,29.15
4,10,2021-01-15T10:04:40Z,Depth,0.297
4,10,2021-01-15T10:04:40Z,Salinity,34.17505322
4,10,2021-01-15T10:04:40Z,Temperature,29.14
4,10,2021-01-15T10:04:50Z,Depth,0.298
4,10,2021-01-15T10:04:50Z,Salinity,34.17743471
4,10,2021-01-15T10:04:50Z,Temperature,29.16
4,11,2021-01-15T11:04:00Z,Depth,0.226
4,11,2021-01-15T11:04:00Z,Salinity,33.60437022
4,11,2021-01-15T11:04:00Z,Temperature,29.28
4,11,2021-01-15T11:04:10Z,Depth,0.259
4,11,2021-01-15T11:04:10Z,Salinity,33.61786246
4,11,2021-01-15T11:04:10Z,Temperature,29.27
4,11,2021-01-15T11:04:20Z,Depth,0.226
4,11,2021-01-15T11:04:20Z,Salinity,33.59831165
4,11,2021-01-15T11:04:20Z,Temperature,29.27
